0,2,0.0564643
1,3,0.068975
2,4,0.0411484
3,5,0.0737369
4,6,0.0745073
5,7,0.0576786
6,8,0.0752879
7,9,0.0755065
8,10,0.0637836
9,11,0.0757892
10,12,0.0758846
11,13,0.0759608
12,14,0.0676507
13,15,0.0682786
14,16,0.0688241
15,17,0.0693023
16,18,0.0697249
17,19,0.0701011
18,20,0.0762354
19,21,0.0707415
20,22,0.0762744
21,23,0.0762906
22,24,0.0763051
23,25,0.0717041
24,26,0.0763299
25,27,0.0720749
26,28,0.0722397
27,29,0.0763591
28,30,0.0725354
29,31,0.0726686
30,32,0.0727931
31,33,0.0729099
32,34,0.0763936
33,35,0.076399
