x,y
0.1,2.2
0.2,2.41
0.3,2.631
0.4,2.8641
0.5,3.11051
0.6,3.37156
0.7,3.64872
0.8,3.94359
0.9,4.25795
1,4.59374
1.1,4.95312
1.2,5.33843
1.3,5.75227
1.4,6.1975
1.5,6.67725
1.6,7.19497
1.7,7.75447
1.8,8.35992
1.9,9.01591
2,9.7275
2.1,10.5002
2.2,11.3403
2.3,12.2543
2.4,13.2497
2.5,14.3347
2.6,15.5182
2.7,16.81
2.8,18.221
2.9,19.7631
3,21.4494
3.1,23.2943
3.2,25.3138
3.3,27.5252
3.4,29.9477
3.5,32.6024
3.6,35.5127
3.7,38.7039
3.8,42.2043
3.9,46.0448
4,50.2593
