x,y
0.2,2.4
0.4,2.84
0.6,3.328
0.8,3.8736
1,4.48832
1.2,5.18598
1.4,5.98318
1.6,6.89982
1.8,7.95978
2,9.19174
2.2,10.6301
2.4,12.3161
2.6,14.2993
2.8,16.6392
3,19.407
3.2,22.6884
3.4,26.5861
3.6,31.2233
3.8,36.748
4,43.3376
